node	cluster	sps	cluster_ref
Sros_PTSG_06018	0	Sros	0
Esil_CBJ49061	0	Esil	0
Esil_CBJ30401	0	Esil	0
Vcar_XP_002950044	0	Vcar	0
Mpus_Micpu52497	0	Mpus	0
Gthe_109934	0	Gthe	0
Acoe_082_00002	1	Acoe	1
Ppal_EFA80047_1	1	Ppal	1
Acas_g4900	1	Acas	1
Smoe_XP_002969663	1	Smoe	1
Scer_SCRT_04921	1	Scer	1
Mgut_mgv1a006005m	1	Mgut	1
Acas_g2212	1	Acas	1a
Cowc_CAOG_04094	1	Cowc	1
Tpse_XP_002290198	1	Tpse	1
Lgig_169490	1	Lgig	1a
Skow_XP_002733823	1	Skow	1a
Hmag_XP_002159692	1	Hmag	1
Skow_XP_002740933	1	Skow	1
Spur_XP_781331	1	Spur	1a
Sbic_01g010740	1	Sbic	1
Mgut_mgv1a007180m	1	Mgut	1
Ddis_XP_638717	1	Ddis	1a
Mgut_mgv1a005471m	1	Mgut	1
Mlei_ML368810a	1	Mlei	1a
Mlei_ML05941a	1	Mlei	1
Cgig_10012735	1	Cgig	1
Ppal_EFA81042_1	1	Ppal	1
Mlei_ML16213a	1	Mlei	1
Lgig_143433	1	Lgig	1
Ppat_XP_001778213	1	Ppat	1
Aker_57510	1	Aker	1
Hsap_ENSP00000304360	1	Hsap	1a
Mlei_ML205611a	1	Mlei	1
Ptri_XP_002182999	1	Ptri	1
Esil_CBJ31821	1	Esil	1a
Ctel_90747	1	Ctel	1
Pmar_XP_002786654	1	Pmar	1
Dmel_FBpp0087091	1	Dmel	1
Ctel_118237	1	Ctel	1
Hmag_XP_002160254	1	Hmag	1a
Ddis_XP_629223	1	Ddis	1
Bdis_1g11010	1	Bdis	1
Mlei_ML13116a	1	Mlei	1
Atha_AT2G17900	1	Atha	1
Mlei_ML22756a	1	Mlei	1
Ocar_g9404_t1	1	Ocar	1a
Ctel_197951	1	Ctel	1a
Dmel_FBpp0087625	1	Dmel	1a
Spur_XP_001181205	1	Spur	1a
Adig_6000v123107	1	Adig	1
Smoe_XP_002981276	1	Smoe	1
Aker_53277	1	Aker	1
Sarc_SARC_10794	2	Sarc	2
Bnat_131745	2	Bnat	2
Bsal_BS30470	2	Bsal	2
Fgra_FGSG_01400	2	Fgra	2
Rall_5391	2	Rall	2
Smoe_XP_002962575	2	Smoe	2
Cang_123406	2	Cang	2
Nspp_5347_fr6	2	Nspp	2
Rfil_3803193_1s1f1	2	Rfil	2
Ehis_32_m00242	2	Ehis	2
Bsal_BS66035	2	Bsal	2
Ehux_204100	2	Ehux	2
Pbla_Phybl2_8439	2	Pbla	2
Lmaj_XP_001683692	2	Lmaj	2
Bsal_BS38715	2	Bsal	2
Aano_F0YCX0	2	Aano	2
Acas_g5076	2	Acas	2
Tgon_XP_002371618	2	Tgon	2
Bsal_BS15675	2	Bsal	2
Bsal_BS29950	2	Bsal	2
Cfra_3630T1	2	Cfra	2
Dmel_FBpp0086127	2	Dmel	2
Rory_11090	2	Rory	2
Mcir_Mucci2_113296	2	Mcir	2
Mver_09038	2	Mver	2
Ctel_101446	2	Ctel	2
Cang_63048	2	Cang	2
Ncra_1859NCU02088	2	Ncra	2
Rory_14281	2	Rory	2
Nspp_11131_fr3	2	Nspp	2
Ddis_XP_647409	2	Ddis	2
Gthe_115058	2	Gthe	2
Ppal_EFA80942_1	2	Ppal	2
Bnat_135991	2	Bnat	2
Smoe_XP_002993931	2	Smoe	2
Ehux_116679	2	Ehux	2
Ehux_434670	2	Ehux	2
Bsal_BS38710	2	Bsal	2
Umar_257941	2	Umar	2
Mlei_ML003211a	2	Mlei	2
Tcru_XP_813739	2	Tcru	2
Acas_g9771	2	Acas	2
Umay_XP_756905	2	Umay	2
Cele_C07A9_7a	2	Cele	2
Bsal_BS83695	2	Bsal	2
Amac_06340	2	Amac	2
Gthe_104225	2	Gthe	2
Ehis_175_m00101	2	Ehis	2
Ehux_367482	2	Ehux	2
Lmaj_XP_001681117	2	Lmaj	2
Ptri_XP_002179146	2	Ptri	2
Ccin_CC1G_07120	2	Ccin	2
Cpar_6433Contig37665	2	Cpar	2
Ppat_XP_001754318	2	Ppat	2
Aker_27813	2	Aker	2
Ehis_293_m00061	2	Ehis	2
Dmel_FBpp0074807	2	Dmel	2
Ppat_XP_001772391	2	Ppat	2
Ehux_215475	2	Ehux	2
Gthe_141117	2	Gthe	2
Ihof_6020	2	Ihof	2
Tcru_XP_819967	2	Tcru	2
Pmar_XP_002771602	2	Pmar	2
Ddis_XP_629629	2	Ddis	2
Vcar_XP_002956564	2	Vcar	2
Apar_comp19133_c0_seq1_fr5	2	Apar	2
Spom_NP_588361_1	2	Spom	2
Nspp_5246_fr2	3	Nspp	3
Nspp_5247_fr1	3	Nspp	3
Ddis_XP_629340	3	Ddis	3
Gthe_138770	3	Gthe	3
Dmel_FBpp0085358	3	Dmel	3
Tgon_XP_002367068	3	Tgon	3
Bsal_BS06595	3	Bsal	3
Cang_345912	3	Cang	3
Cowc_CAOG_08663	3	Cowc	3
Esil_CBN75038	3	Esil	3
Cvar_EFN52201	3	Cvar	3
Pinf_XP_002901357	3	Pinf	3
Aker_54125	3	Aker	3
Aker_60563	3	Aker	3
Ppal_EFA86539_1	3	Ppal	3
Ehux_207807	3	Ehux	3
Pinf_XP_002901710	3	Pinf	3
Mpus_Micpu209945	3	Mpus	3
Scil_46955	3	Scil	3
Mpus_Micpu50143	3	Mpus	3
Ehux_228606	3	Ehux	3
Gthe_120234	3	Gthe	3
Gthe_120372	3	Gthe	3
Tcru_XP_807159	4	Tcru	4
Acas_g4479	4	Acas	4
Spun_SPPG_04849	4	Spun	4
Sros_PTSG_06889	4	Sros	4
Tgon_XP_002365375	4	Tgon	4
Pbla_Phybl2_182546	4	Pbla	4
Tcru_XP_808430	4	Tcru	4
Esil_CBN74163	4	Esil	4
Umar_257427	4	Umar	4
Mbre_XP_001746892	4	Mbre	4
Bden_Batde5_90401	4	Bden	4
Ddis_XP_646203	4	Ddis	4
Rory_3197	4	Rory	4
Cpar_15254Contig9229	4	Cpar	4
Rall_1996	4	Rall	4
Lmaj_XP_001683417	4	Lmaj	4
Ddis_XP_002649106	4	Ddis	4
Ccin_CC1G_07286	4	Ccin	4
Ngru_XP_002670329	4	Ngru	4
Mcir_Mucci2_106522	4	Mcir	4
Gpro_156978	4	Gpro	4
Crev_44617	4	Crev	4
Ehux_452240	5	Ehux	5
Clim_g3916	5	Clim	5
Aker_45975	5	Aker	5
Crei_XP_001689919	5	Crei	5
Amac_09124	5	Amac	5
Cang_50545	5	Cang	5
