node	cluster	sps	cluster_ref
Rory_5510	0	Rory	0ab
Gpro_96002	0	Gpro	0ab
Aque_XP_003385238	0	Aque	0ab
Sbic_08g002530	0	Sbic	0ab
Crev_25774	0	Crev	0ab
Tadh_XP_002117297	0	Tadh	0ab
Cmer_CMG025C	0	Cmer	0ab
Pbla_Phybl2_34196	0	Pbla	0ab
Nspp_14168_fr5	0	Nspp	0
Cgig_10017490	0	Cgig	0ab
Ccri_T00001983001	0	Ccri	0ab
Hsap_ENSP00000262519	0	Hsap	0ab
Mlei_ML056953a	0	Mlei	0ab
Smoe_XP_002962407	0	Smoe	0ab
Dmel_FBpp0112592	0	Dmel	0ab
Mvib_comp12474_c0_seq1_fr5	0	Mvib	0
Fgra_FGSG_07445	0	Fgra	0ab
Ppal_EFA75361_1	0	Ppal	0ab
Gthe_66907	0	Gthe	0ab
Cowc_CAOG_03580	0	Cowc	0ab
Ihof_383	0	Ihof	0ab
Ocar_g9304_t1	0	Ocar	0ab
Ttra_AMSG_09203	0	Ttra	0ab
Bden_Batde5_35515	0	Bden	0ab
Pisp_26066	0	Pisp	0ab
Rall_5515	0	Rall	0ab
Acas_g11544	0	Acas	0ab
Ccin_CC1G_15535	0	Ccin	0ab
Rfil_3789713_2s	0	Rfil	0ab
Ppat_XP_001771062	0	Ppat	0ab
Ngru_XP_002683109	0	Ngru	0ab
Spom_NP_587812_1	0	Spom	0ab
Apar_comp23409_c1_seq1_fr4	0	Apar	0ab
Glam_XP_001708058	0	Glam	0ab
Rall_3554	0	Rall	0
Bnat_37368	0	Bnat	0ab
Pyez_40134_g9249	0	Pyez	0ab
Acoe_017_00002	0	Acoe	0ab
Nspp_18097_fr5	0	Nspp	0
Vcar_XP_002954958	0	Vcar	0ab
Umar_174815	0	Umar	0ab
Scil_54447	0	Scil	0ab
Nspp_552_fr5	0	Nspp	0ab
Cint_ENSCINP00000011316	0	Cint	0ab
Falb_H696_00716T0	0	Falb	0ab
