in_gene	out_gene	branch_support	ev_type	sos	in_sps	out_sps
Gthe_120775	Ehux_207150	1.0	S	0.0	Gthe	Ehux
Gthe_120775	Rfil_3789974_4s1f1	1.0	S	0.0	Gthe	Rfil
Ehux_96595	Tpse_XP_002287062	1.0	S	0.0	Ehux	Tpse
Ehux_96595	Tpse_XP_002288295	1.0	S	0.0	Ehux	Tpse
Ehux_96595	Ptri_XP_002179507	1.0	S	0.0	Ehux	Ptri
Vcar_XP_002954057	Mpus_Micpu178115	1.0	S	0.0	Vcar	Mpus
Vcar_XP_002954057	Otau_XP_003083390	1.0	S	0.0	Vcar	Otau
Rfil_3789974_4s1f1	Ehux_207150	1.0	S	0.0	Rfil	Ehux
Ptri_XP_002179507	Tpse_XP_002287062	1.0	S	0.0	Ptri	Tpse
Ptri_XP_002179507	Tpse_XP_002288295	1.0	S	0.0	Ptri	Tpse
Otau_XP_003083390	Mpus_Micpu178115	1.0	S	0.0	Otau	Mpus
Tpse_XP_002297128	Tcru_XP_817580	1.0	S	0.0	Tpse	Tcru
Tpse_XP_002297128	Ppat_XP_001771149	1.0	S	0.0	Tpse	Ppat
Tpse_XP_002297128	Sbic_09g030160	1.0	S	0.0	Tpse	Sbic
Tpse_XP_002297128	Atha_AT4G20130	1.0	S	0.0	Tpse	Atha
Tpse_XP_002297128	Bdis_2g14720	1.0	S	0.0	Tpse	Bdis
Tpse_XP_002297128	Smoe_XP_002987941	1.0	S	0.0	Tpse	Smoe
Tpse_XP_002297128	Bsal_BS12335	1.0	S	0.0	Tpse	Bsal
Tpse_XP_002297128	Smoe_XP_002994017	1.0	S	0.0	Tpse	Smoe
Tpse_XP_002297128	Mgut_mgv1a005196m	1.0	S	0.0	Tpse	Mgut
Tpse_XP_002297128	Mgut_mgv1a024773m	1.0	S	0.0	Tpse	Mgut
Tpse_XP_002297128	Acoe_002_01301	1.0	S	0.0	Tpse	Acoe
Tpse_XP_002297128	Lmaj_XP_001681314	1.0	S	0.0	Tpse	Lmaj
Tpse_XP_002297128	Tcru_XP_815384	1.0	S	0.0	Tpse	Tcru
Tpse_XP_002297128	Tcru_XP_819082	1.0	S	0.0	Tpse	Tcru
Tpse_XP_002297128	Tcru_XP_811859	1.0	S	0.0	Tpse	Tcru
Tthe_XP_001015055	Tcru_XP_817580	1.0	S	0.0	Tthe	Tcru
Tthe_XP_001015055	Ppat_XP_001771149	1.0	S	0.0	Tthe	Ppat
Tthe_XP_001015055	Sbic_09g030160	1.0	S	0.0	Tthe	Sbic
Tthe_XP_001015055	Atha_AT4G20130	1.0	S	0.0	Tthe	Atha
Tthe_XP_001015055	Bdis_2g14720	1.0	S	0.0	Tthe	Bdis
Tthe_XP_001015055	Smoe_XP_002987941	1.0	S	0.0	Tthe	Smoe
Tthe_XP_001015055	Bsal_BS12335	1.0	S	0.0	Tthe	Bsal
Tthe_XP_001015055	Smoe_XP_002994017	1.0	S	0.0	Tthe	Smoe
Tthe_XP_001015055	Mgut_mgv1a005196m	1.0	S	0.0	Tthe	Mgut
Tthe_XP_001015055	Mgut_mgv1a024773m	1.0	S	0.0	Tthe	Mgut
Tthe_XP_001015055	Acoe_002_01301	1.0	S	0.0	Tthe	Acoe
Tthe_XP_001015055	Lmaj_XP_001681314	1.0	S	0.0	Tthe	Lmaj
Tthe_XP_001015055	Tcru_XP_815384	1.0	S	0.0	Tthe	Tcru
Tthe_XP_001015055	Tcru_XP_819082	1.0	S	0.0	Tthe	Tcru
Tthe_XP_001015055	Tcru_XP_811859	1.0	S	0.0	Tthe	Tcru
Tthe_XP_001015055	Tpse_XP_002297128	1.0	S	0.0	Tthe	Tpse
Tcru_XP_817580	Ppat_XP_001771149	1.0	S	0.0	Tcru	Ppat
Tcru_XP_817580	Atha_AT4G20130	1.0	S	0.0	Tcru	Atha
Tcru_XP_817580	Bdis_2g14720	1.0	S	0.0	Tcru	Bdis
Tcru_XP_817580	Smoe_XP_002987941	1.0	S	0.0	Tcru	Smoe
Tcru_XP_817580	Smoe_XP_002994017	1.0	S	0.0	Tcru	Smoe
Tcru_XP_817580	Mgut_mgv1a005196m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_817580	Mgut_mgv1a024773m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_817580	Acoe_002_01301	1.0	S	0.0	Tcru	Acoe
Tcru_XP_817580	Sbic_09g030160	1.0	S	0.0	Tcru	Sbic
Bsal_BS12335	Ppat_XP_001771149	1.0	S	0.0	Bsal	Ppat
Bsal_BS12335	Atha_AT4G20130	1.0	S	0.0	Bsal	Atha
Bsal_BS12335	Bdis_2g14720	1.0	S	0.0	Bsal	Bdis
Bsal_BS12335	Smoe_XP_002987941	1.0	S	0.0	Bsal	Smoe
Bsal_BS12335	Smoe_XP_002994017	1.0	S	0.0	Bsal	Smoe
Bsal_BS12335	Mgut_mgv1a005196m	1.0	S	0.0	Bsal	Mgut
Bsal_BS12335	Mgut_mgv1a024773m	1.0	S	0.0	Bsal	Mgut
Bsal_BS12335	Acoe_002_01301	1.0	S	0.0	Bsal	Acoe
Bsal_BS12335	Sbic_09g030160	1.0	S	0.0	Bsal	Sbic
Lmaj_XP_001681314	Ppat_XP_001771149	1.0	S	0.0	Lmaj	Ppat
Lmaj_XP_001681314	Atha_AT4G20130	1.0	S	0.0	Lmaj	Atha
Lmaj_XP_001681314	Bdis_2g14720	1.0	S	0.0	Lmaj	Bdis
Lmaj_XP_001681314	Smoe_XP_002987941	1.0	S	0.0	Lmaj	Smoe
Lmaj_XP_001681314	Smoe_XP_002994017	1.0	S	0.0	Lmaj	Smoe
Lmaj_XP_001681314	Mgut_mgv1a005196m	1.0	S	0.0	Lmaj	Mgut
Lmaj_XP_001681314	Mgut_mgv1a024773m	1.0	S	0.0	Lmaj	Mgut
Lmaj_XP_001681314	Acoe_002_01301	1.0	S	0.0	Lmaj	Acoe
Lmaj_XP_001681314	Sbic_09g030160	1.0	S	0.0	Lmaj	Sbic
Tcru_XP_815384	Ppat_XP_001771149	1.0	S	0.0	Tcru	Ppat
Tcru_XP_815384	Atha_AT4G20130	1.0	S	0.0	Tcru	Atha
Tcru_XP_815384	Bdis_2g14720	1.0	S	0.0	Tcru	Bdis
Tcru_XP_815384	Smoe_XP_002987941	1.0	S	0.0	Tcru	Smoe
Tcru_XP_815384	Smoe_XP_002994017	1.0	S	0.0	Tcru	Smoe
Tcru_XP_815384	Mgut_mgv1a005196m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_815384	Mgut_mgv1a024773m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_815384	Acoe_002_01301	1.0	S	0.0	Tcru	Acoe
Tcru_XP_815384	Sbic_09g030160	1.0	S	0.0	Tcru	Sbic
Tcru_XP_819082	Ppat_XP_001771149	1.0	S	0.0	Tcru	Ppat
Tcru_XP_819082	Atha_AT4G20130	1.0	S	0.0	Tcru	Atha
Tcru_XP_819082	Bdis_2g14720	1.0	S	0.0	Tcru	Bdis
Tcru_XP_819082	Smoe_XP_002987941	1.0	S	0.0	Tcru	Smoe
Tcru_XP_819082	Smoe_XP_002994017	1.0	S	0.0	Tcru	Smoe
Tcru_XP_819082	Mgut_mgv1a005196m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_819082	Mgut_mgv1a024773m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_819082	Acoe_002_01301	1.0	S	0.0	Tcru	Acoe
Tcru_XP_819082	Sbic_09g030160	1.0	S	0.0	Tcru	Sbic
Tcru_XP_811859	Ppat_XP_001771149	1.0	S	0.0	Tcru	Ppat
Tcru_XP_811859	Atha_AT4G20130	1.0	S	0.0	Tcru	Atha
Tcru_XP_811859	Bdis_2g14720	1.0	S	0.0	Tcru	Bdis
Tcru_XP_811859	Smoe_XP_002987941	1.0	S	0.0	Tcru	Smoe
Tcru_XP_811859	Smoe_XP_002994017	1.0	S	0.0	Tcru	Smoe
Tcru_XP_811859	Mgut_mgv1a005196m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_811859	Mgut_mgv1a024773m	1.0	S	0.0	Tcru	Mgut
Tcru_XP_811859	Acoe_002_01301	1.0	S	0.0	Tcru	Acoe
Tcru_XP_811859	Sbic_09g030160	1.0	S	0.0	Tcru	Sbic
Smoe_XP_002987941	Atha_AT4G20130	1.0	S	0.0	Smoe	Atha
Smoe_XP_002987941	Bdis_2g14720	1.0	S	0.0	Smoe	Bdis
Smoe_XP_002987941	Mgut_mgv1a005196m	1.0	S	0.0	Smoe	Mgut
Smoe_XP_002987941	Mgut_mgv1a024773m	1.0	S	0.0	Smoe	Mgut
Smoe_XP_002987941	Acoe_002_01301	1.0	S	0.0	Smoe	Acoe
Smoe_XP_002987941	Sbic_09g030160	1.0	S	0.0	Smoe	Sbic
Smoe_XP_002994017	Atha_AT4G20130	1.0	S	0.0	Smoe	Atha
Smoe_XP_002994017	Bdis_2g14720	1.0	S	0.0	Smoe	Bdis
Smoe_XP_002994017	Mgut_mgv1a005196m	1.0	S	0.0	Smoe	Mgut
Smoe_XP_002994017	Mgut_mgv1a024773m	1.0	S	0.0	Smoe	Mgut
Smoe_XP_002994017	Acoe_002_01301	1.0	S	0.0	Smoe	Acoe
Smoe_XP_002994017	Sbic_09g030160	1.0	S	0.0	Smoe	Sbic
Ppat_XP_001771149	Atha_AT4G20130	1.0	S	0.0	Ppat	Atha
Ppat_XP_001771149	Bdis_2g14720	1.0	S	0.0	Ppat	Bdis
Ppat_XP_001771149	Mgut_mgv1a005196m	1.0	S	0.0	Ppat	Mgut
Ppat_XP_001771149	Mgut_mgv1a024773m	1.0	S	0.0	Ppat	Mgut
Ppat_XP_001771149	Acoe_002_01301	1.0	S	0.0	Ppat	Acoe
Ppat_XP_001771149	Sbic_09g030160	1.0	S	0.0	Ppat	Sbic
Pyez_19832_g4888	Ccri_T00006890001	1.0	S	0.0	Pyez	Ccri
Pyez_19832_g4888	Vcar_XP_002948672	1.0	S	0.0	Pyez	Vcar
Pyez_19832_g4888	Crei_XP_001696150	1.0	S	0.0	Pyez	Crei
Pyez_19832_g4888	Cvar_EFN55457	1.0	S	0.0	Pyez	Cvar
Pyez_19832_g4888	Gthe_147375	1.0	S	0.0	Pyez	Gthe
Bnat_136247	Ccri_T00006890001	1.0	S	0.0	Bnat	Ccri
Bnat_136247	Vcar_XP_002948672	1.0	S	0.0	Bnat	Vcar
Bnat_136247	Crei_XP_001696150	1.0	S	0.0	Bnat	Crei
Bnat_136247	Cvar_EFN55457	1.0	S	0.0	Bnat	Cvar
Bnat_136247	Gthe_147375	1.0	S	0.0	Bnat	Gthe
Mpus_Micpu186708	Otau_XP_003083454	1.0	S	0.0	Mpus	Otau
Mpus_Micpu186708	Vcar_XP_002955706	1.0	S	0.0	Mpus	Vcar
Mpus_Micpu186708	Acoe_091_00078	1.0	S	0.0	Mpus	Acoe
Mpus_Micpu186708	Bnat_135435	1.0	S	0.0	Mpus	Bnat
Mpus_Micpu186708	Sbic_04g028760	1.0	S	0.0	Mpus	Sbic
Mpus_Micpu186708	Smoe_XP_002964620	1.0	S	0.0	Mpus	Smoe
Mpus_Micpu186708	Crei_XP_001703025	1.0	S	0.0	Mpus	Crei
Mpus_Micpu186708	Atha_AT1G24610	1.0	S	0.0	Mpus	Atha
Mpus_Micpu186708	Mgut_mgv1a005562m	1.0	S	0.0	Mpus	Mgut
Mpus_Micpu186708	Bnat_70745	1.0	S	0.0	Mpus	Bnat
Mpus_Micpu186708	Ppat_XP_001759585	1.0	S	0.0	Mpus	Ppat
Mpus_Micpu186708	Smoe_XP_002989522	1.0	S	0.0	Mpus	Smoe
Mpus_Micpu186708	Cvar_EFN51670	1.0	S	0.0	Mpus	Cvar
Mpus_Micpu186708	Otau_XP_003080689	1.0	S	0.0	Mpus	Otau
Mpus_Micpu186708	Ppat_XP_001755464	1.0	S	0.0	Mpus	Ppat
Amac_02309	Otau_XP_003083454	1.0	S	0.0	Amac	Otau
Amac_02309	Vcar_XP_002955706	1.0	S	0.0	Amac	Vcar
Amac_02309	Acoe_091_00078	1.0	S	0.0	Amac	Acoe
Amac_02309	Bnat_135435	1.0	S	0.0	Amac	Bnat
Amac_02309	Sbic_04g028760	1.0	S	0.0	Amac	Sbic
Amac_02309	Smoe_XP_002964620	1.0	S	0.0	Amac	Smoe
Amac_02309	Crei_XP_001703025	1.0	S	0.0	Amac	Crei
Amac_02309	Atha_AT1G24610	1.0	S	0.0	Amac	Atha
Amac_02309	Mgut_mgv1a005562m	1.0	S	0.0	Amac	Mgut
Amac_02309	Bnat_70745	1.0	S	0.0	Amac	Bnat
Amac_02309	Ppat_XP_001759585	1.0	S	0.0	Amac	Ppat
Amac_02309	Smoe_XP_002989522	1.0	S	0.0	Amac	Smoe
Amac_02309	Cvar_EFN51670	1.0	S	0.0	Amac	Cvar
Amac_02309	Otau_XP_003080689	1.0	S	0.0	Amac	Otau
Amac_02309	Ppat_XP_001755464	1.0	S	0.0	Amac	Ppat
Lmaj_XP_001681314	Tcru_XP_815384	1.0	S	0.0	Lmaj	Tcru
Lmaj_XP_001681314	Tcru_XP_811859	1.0	S	0.0	Lmaj	Tcru
Bsal_BS12335	Tcru_XP_817580	1.0	S	0.0	Bsal	Tcru
Bsal_BS12335	Tcru_XP_819082	1.0	S	0.0	Bsal	Tcru
Ppat_XP_001771149	Smoe_XP_002987941	1.0	S	0.0	Ppat	Smoe
Ppat_XP_001771149	Smoe_XP_002994017	1.0	S	0.0	Ppat	Smoe
Atha_AT4G20130	Acoe_002_01301	1.0	S	0.0	Atha	Acoe
Atha_AT4G20130	Mgut_mgv1a005196m	1.0	S	0.0	Atha	Mgut
Atha_AT4G20130	Bdis_2g14720	1.0	S	0.0	Atha	Bdis
Atha_AT4G20130	Mgut_mgv1a024773m	1.0	S	0.0	Atha	Mgut
Atha_AT4G20130	Sbic_09g030160	1.0	S	0.0	Atha	Sbic
Pyez_19832_g4888	Bnat_136247	1.0	S	0.0	Pyez	Bnat
Gthe_147375	Ccri_T00006890001	1.0	S	0.0	Gthe	Ccri
Gthe_147375	Vcar_XP_002948672	1.0	S	0.0	Gthe	Vcar
Gthe_147375	Crei_XP_001696150	1.0	S	0.0	Gthe	Crei
Gthe_147375	Cvar_EFN55457	1.0	S	0.0	Gthe	Cvar
Amac_02309	Mpus_Micpu186708	1.0	S	0.0	Amac	Mpus
Bdis_2g14720	Mgut_mgv1a005196m	1.0	S	0.0	Bdis	Mgut
Bdis_2g14720	Mgut_mgv1a024773m	1.0	S	0.0	Bdis	Mgut
Bdis_2g14720	Acoe_002_01301	1.0	S	0.0	Bdis	Acoe
Sbic_09g030160	Mgut_mgv1a005196m	1.0	S	0.0	Sbic	Mgut
Sbic_09g030160	Mgut_mgv1a024773m	1.0	S	0.0	Sbic	Mgut
Sbic_09g030160	Acoe_002_01301	1.0	S	0.0	Sbic	Acoe
Ccri_T00006890001	Crei_XP_001696150	1.0	S	0.0	Ccri	Crei
Ccri_T00006890001	Vcar_XP_002948672	1.0	S	0.0	Ccri	Vcar
Ccri_T00006890001	Cvar_EFN55457	1.0	S	0.0	Ccri	Cvar
Otau_XP_003080689	Ppat_XP_001755464	1.0	S	0.0	Otau	Ppat
Pmar_XP_002782260	Mpus_Micpu48831	1.0	S	0.0	Pmar	Mpus
Pmar_XP_002782260	Gthe_108853	1.0	S	0.0	Pmar	Gthe
Pmar_XP_002782260	Ttra_AMSG_04237	1.0	S	0.0	Pmar	Ttra
Pmar_XP_002782260	Gthe_138732	1.0	S	0.0	Pmar	Gthe
Pmar_XP_002782260	Umar_235646	1.0	S	0.0	Pmar	Umar
Pmar_XP_002782260	Gpro_130154	1.0	S	0.0	Pmar	Gpro
Pmar_XP_002782260	Mcir_Mucci2_187976	1.0	S	0.0	Pmar	Mcir
Pmar_XP_002782260	Spom_NP_593610_1	1.0	S	0.0	Pmar	Spom
