node	cluster	sps	cluster_ref
Acas_g14733	0	Acas	0
Aker_58374	0	Aker	0
Mpus_Micpu55322	0	Mpus	0
Crei_XP_001698255	0	Crei	0
Gthe_104681	0	Gthe	0
Acas_g11639	0	Acas	0
Cvar_EFN53459	0	Cvar	0
Otau_XP_003078319	0	Otau	0
Vcar_XP_002952189	0	Vcar	0
Bnat_134142	0	Bnat	0
Mbre_XP_001748684	1	Mbre	1a
Ocar_g5802_t1	1	Ocar	1a
Lgig_217400	1	Lgig	1a
Mcir_Mucci2_106194	1	Mcir	1a
Hsap_ENSP00000219315	1	Hsap	1a
Cneo_XP_567975	1	Cneo	1a
Rory_11187	1	Rory	1a
Umar_246787	1	Umar	1a
Nvec_XP_001629819	1	Nvec	1a
Sros_PTSG_01368	1	Sros	1a
Crei_XP_001703371	1	Crei	1a
Spom_NP_594072_1	1	Spom	1a
Mver_06965	1	Mver	1a
Mpus_Micpu197287	1	Mpus	1a
Otau_XP_003079418	1	Otau	1a
Umay_XP_759768	1	Umay	1a
Scil_68011	1	Scil	1a
Aque_XP_003382977	1	Aque	1a
Cang_156814	1	Cang	1a
Rirr_156604	1	Rirr	1a
Cgig_10004098	1	Cgig	1a
Spur_XP_787519	1	Spur	1a
Ctel_151537	1	Ctel	1a
Vcar_XP_002951655	1	Vcar	1a
Ccin_CC1G_03233	1	Ccin	1a
Cint_ENSCINP00000020186	1	Cint	1a
Amac_13919	1	Amac	1a
Bnat_69062	1	Bnat	1a
Fgra_FGSG_13489	1	Fgra	1a
Ncra_8714NCU09827	1	Ncra	1a
Scer_SCRT_00269	1	Scer	1a
Crei_XP_001695318	2	Crei	2
Vcar_XP_002947984	2	Vcar	2
Ptri_XP_002181881	2	Ptri	2
Ptri_XP_002183255	2	Ptri	2
Pinf_XP_002908955	2	Pinf	2
Crei_XP_001690983	2	Crei	2
Mpus_Micpu48831	3	Mpus	3
Pmar_XP_002782260	3	Pmar	3
Gthe_108853	3	Gthe	3
Esil_CBJ33334	3	Esil	3
Ttra_AMSG_04237	3	Ttra	3
Aano_F0YBY0	3	Aano	3
Pmar_XP_002769782	3	Pmar	3
Umar_235646	3	Umar	3
Gthe_138732	3	Gthe	3
Spom_NP_593610_1	3	Spom	3
Gpro_130154	3	Gpro	3
Mcir_Mucci2_187976	3	Mcir	3
Bden_Batde5_27333	3	Bden	3
Bsal_BS12335	4	Bsal	4
Tcru_XP_817580	4	Tcru	4
Tcru_XP_819082	4	Tcru	4
Lmaj_XP_001681314	4	Lmaj	4
Sbic_09g030160	4	Sbic	4
Tthe_XP_001015055	4	Tthe	4
Tcru_XP_815384	4	Tcru	4
Mgut_mgv1a024773m	4	Mgut	4
Mgut_mgv1a005196m	4	Mgut	4
Ppat_XP_001771149	4	Ppat	4
Tpse_XP_002297128	4	Tpse	4
Tcru_XP_811859	4	Tcru	4
Atha_AT4G20130	4	Atha	4
Smoe_XP_002987941	4	Smoe	4
Smoe_XP_002994017	4	Smoe	4
Acoe_002_01301	4	Acoe	4
Bdis_2g14720	4	Bdis	4
Spom_NP_588349_1	5	Spom	5a
Nvec_XP_001625323	5	Nvec	5a
Rory_10421	5	Rory	5a
Ptri_XP_002183265	5	Ptri	5a
Crev_10775	5	Crev	5a
Amac_05234	5	Amac	5a
Hmag_XP_002160713	5	Hmag	5a
Tpse_XP_002286796	5	Tpse	5a
Ihof_3025	5	Ihof	5a
Rall_5223	5	Rall	5a
Spur_XP_001201449	5	Spur	5a
Apar_comp69060_c0_seq1_fr5	5	Apar	5a
Bden_Batde5_23340	5	Bden	5a
Gthe_134587	5	Gthe	5a
Rirr_97053	5	Rirr	5a
Ctel_140019	5	Ctel	5a
Hsap_ENSP00000329189	5	Hsap	5a
Skow_XP_002737626	5	Skow	5a
Pbla_Phybl2_161758	5	Pbla	5a
Ccor_86723	5	Ccor	5a
Ncra_1923NCU02158	5	Ncra	5a
Acas_g7267	5	Acas	5a
Mcir_Mucci2_183066	5	Mcir	5a
Cint_ENSCINP00000020275	5	Cint	5a
Cang_64968	5	Cang	5a
Lgig_210687	5	Lgig	5a
Fgra_FGSG_08862	5	Fgra	5a
Mver_10454	5	Mver	5a
Umar_225992	5	Umar	5a
Scil_69782	5	Scil	5a
