	Anoalb	Anoatr	Anochr	Anocul	Anodar	Anodir	Anoepi	Anofar	Anofun	Anogam	Anomac	Anomin	Anosin	Anoste
Anoalb	9963	9016	8223	9260	8082	9331	9295	9013	9342	8913	8186	9315	8310	9068
Anoatr	9016	10966	8382	9849	8196	9417	9378	9812	9438	9249	8669	9369	9192	9269
Anochr	8223	8382	9392	8731	7504	8745	8854	8461	8737	8556	7856	8702	7801	8610
Anocul	9260	9849	8731	11386	8412	9788	9759	9946	9851	9566	9267	9816	9130	9599
Anodar	8082	8196	7504	8412	8986	8306	8318	8239	8318	8441	7530	8251	7637	8247
Anodir	9331	9417	8745	9788	8306	10587	9868	9517	9946	9460	8675	9911	8708	9607
Anoepi	9295	9378	8854	9759	8318	9868	10474	9452	9853	9488	8679	9834	8696	9677
Anofar	9013	9812	8461	9946	8239	9517	9452	10875	9530	9369	8709	9478	8952	9333
Anofun	9342	9438	8737	9851	8318	9946	9853	9530	10688	9536	8739	10019	8745	9615
Anogam	8913	9249	8556	9566	8441	9460	9488	9369	9536	10235	8582	9462	8601	9430
Anomac	8186	8669	7856	9267	7530	8675	8679	8709	8739	8582	10003	8660	8088	8595
Anomin	9315	9369	8702	9816	8251	9911	9834	9478	10019	9462	8660	10586	8664	9563
Anosin	8310	9192	7801	9130	7637	8708	8696	8952	8745	8601	8088	8664	10141	8598
Anoste	9068	9269	8610	9599	8247	9607	9677	9333	9615	9430	8595	9563	8598	10294
