node	og	cluster	og_cluster
Anoalb_Anoalb_AALB001334-RA	OG0000000		OG0000000_nan
Anodar_Anodar_ADAC009966-RA	OG0000000		OG0000000_nan
Anoatr_Anoatr_AATE018750-RA	OG0000000	23	OG0000000_23
Anosin_Anosin_ASIS007177-RA	OG0000000	23	OG0000000_23
Anoatr_Anoatr_AATE002325-RA	OG0000000	21	OG0000000_21
Anosin_Anosin_ASIS000026-RA	OG0000000	21	OG0000000_21
Anodar_Anodar_ADAC002823-RA	OG0000000	21	OG0000000_21
Anocul_Anocul_ACUA018593-RA	OG0000000	21	OG0000000_21
Anomac_Anomac_AMAM017820-RA	OG0000000	21	OG0000000_21
Anomac_Anomac_AMAM004874-RA	OG0000000	21	OG0000000_21
Anogam_Anogam_AGAP012263-RA	OG0000000		OG0000000_nan
Anoatr_Anoatr_AATE016569-RA	OG0000000	20	OG0000000_20
Anosin_Anosin_ASIS002244-RA	OG0000000	20	OG0000000_20
Anodar_Anodar_ADAC002826-RA	OG0000000	20	OG0000000_20
Anofar_Anofar_AFAF020858-RA	OG0000000	20	OG0000000_20
Anomac_Anomac_AMAM004971-RA	OG0000000	20	OG0000000_20
Anoalb_Anoalb_AALB002512-RA	OG0000000	13	OG0000000_13
Anodar_Anodar_ADAC009450-RA	OG0000000	13	OG0000000_13
Anochr_Anochr_ACHR000324-RA	OG0000000	13	OG0000000_13
Anocul_Anocul_ACUA016529-RA	OG0000000	13	OG0000000_13
Anomin_Anomin_AMIN002911-RA	OG0000000	13	OG0000000_13
Anofar_Anofar_AFAF009651-RA	OG0000000	13	OG0000000_13
Anodar_Anodar_ADAC009456-RA	OG0000000	13	OG0000000_13
Anodir_Anodir_ADIR015702-RA	OG0000000	13	OG0000000_13
Anomac_Anomac_AMAM024188-RA	OG0000000	13	OG0000000_13
Anofun_Anofun_AFUN001556-RA	OG0000000	13	OG0000000_13
Anogam_Anogam_AGAP003788-RA	OG0000000	13	OG0000000_13
Anoatr_Anoatr_AATE000412-RA	OG0000000	13	OG0000000_13
Anosin_Anosin_ASIS013204-RA	OG0000000	13	OG0000000_13
Anoste_Anoste_ASTEI00886-RA	OG0000000	13	OG0000000_13
Anoalb_Anoalb_AALB015664-RA	OG0000000	10	OG0000000_10
Anodar_Anodar_ADAC009444-RA	OG0000000	10	OG0000000_10
Anodir_Anodir_ADIR002521-RA	OG0000000	10	OG0000000_10
Anofar_Anofar_AFAF015100-RA	OG0000000	10	OG0000000_10
Anoatr_Anoatr_AATE005378-RA	OG0000000	10	OG0000000_10
Anosin_Anosin_ASIS009308-RA	OG0000000	10	OG0000000_10
Anocul_Anocul_ACUA024059-RA	OG0000000	10	OG0000000_10
Anofun_Anofun_AFUN016356-RA	OG0000000	10	OG0000000_10
Anomac_Anomac_AMAM010619-RA	OG0000000	10	OG0000000_10
Anomin_Anomin_AMIN002916-RA	OG0000000	10	OG0000000_10
Anochr_Anochr_ACHR000881-RA	OG0000000	10	OG0000000_10
Anogam_Anogam_AGAP003783-RB	OG0000000	10	OG0000000_10
Anoalb_Anoalb_AALB015485-RA	OG0000000	2	OG0000000_2
Anodar_Anodar_ADAC009440-RA	OG0000000	2	OG0000000_2
Anochr_Anochr_ACHR000327-RA	OG0000000	2	OG0000000_2
Anogam_Anogam_AGAP003784-RA	OG0000000	2	OG0000000_2
Anoatr_Anoatr_AATE020101-RA	OG0000000	2	OG0000000_2
Anosin_Anosin_ASIS002480-RA	OG0000000	2	OG0000000_2
Anocul_Anocul_ACUA018873-RA	OG0000000	2	OG0000000_2
Anomin_Anomin_AMIN002914-RA	OG0000000	2	OG0000000_2
Anofun_Anofun_AFUN001551-RA	OG0000000	2	OG0000000_2
