in_gene	out_gene	branch_support	ev_type	sos
Mpus_Micpu57043	Esil_CBJ28193	0.83	S	0.0
Mpus_Micpu57043	Esil_CBJ30962	0.83	S	0.0
Mpus_Micpu57043	Esil_CBJ49018	0.83	S	0.0
Mpus_Micpu57043	Esil_CBJ33295	0.83	S	0.0
Mpus_Micpu57043	Esil_CBJ48999	0.83	S	0.0
Mpus_Micpu57043	Esil_CBN75284	0.83	S	0.0
Tgon_XP_002364398	Acas_g413	0.57	S	0.0
Vcar_XP_002949759	Crei_XP_001691757	1.0	S	0.0
Ptet_A0D472_A0D472	Lgig_153726	0.37	S	0.0
Ptet_A0D472_A0D472	Scil_89977	0.37	S	0.0
Ptet_A0D472_A0D472	Adig_2070v103434	0.37	S	0.0
Ptet_A0D472_A0D472	Ctel_103287	0.37	S	0.0
Ptet_A0D472_A0D472	Spur_XP_003724787	0.37	S	0.0
Ptet_A0D472_A0D472	Cgig_10013102	0.37	S	0.0
Ptet_A0D472_A0D472	Cint_ENSCINP00000000048	0.37	S	0.0
Ptet_A0D472_A0D472	Adig_2067v103430	0.37	S	0.0
Ptet_A0D472_A0D472	Nvec_XP_001640186	0.37	S	0.0
Ptet_A0D472_A0D472	Lgig_169169	0.37	S	0.0
Ptet_A0D472_A0D472	Adig_2550v120377	0.37	S	0.0
Ptet_A0D472_A0D472	Hsap_ENSP00000276594	0.37	S	0.0
Ptet_A0D472_A0D472	Scil_90070	0.37	S	0.0
Ptet_A0D472_A0D472	Cgig_10001616	0.37	S	0.0
Ptet_A0D472_A0D472	Hsap_ENSP00000235372	0.37	S	0.0
Ptet_A0D472_A0D472	Adig_23202v118285	0.37	S	0.0
Ptet_A0D472_A0D472	Aque_XP_003387259	0.37	S	0.0
Ptet_A0D472_A0D472	Tadh_XP_002109980	0.37	S	0.0
Ptet_A0D472_A0D472	Spur_XP_001200656	0.37	S	0.0
Ptet_A0D472_A0D472	Crei_XP_001701518	0.37	S	0.0
Ptet_A0D472_A0D472	Scil_67503	0.37	S	0.0
Ptet_A0D472_A0D472	Ocar_g8397_t1	0.37	S	0.0
